nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
LUIS LEBLANC VALENZUELA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Leblanc_Valenzuela,Luis Enrique,Leblanc,Valenzuela,Asistente Social,12 de Abril de 1950,Santiago,19 de Agosto de 2017,,1,tres,14 de diciembre de 1989
CARLOS VALCARCE MEDINA,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Valcarce_Medina,Carlos Raúl,Valcarce,Medina,Ingeniero Comercial,26 de Abril de 1950,Arica,,,1,0,14 de diciembre de 1989
VLADISLAV KUZMICIC CALDERON,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vladislav_Kuzmicic_Calderón,Vladislav,Kuzmicic,Calderón,Médico cardiólogo,23 de Octubre de 1945,Iquique,,,1,0,14 de diciembre de 1989
RAMON PEREZ OPAZO,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Segundo_Pérez_Opazo,Ramón Segundo,Pérez,Opazo,Perito Dactiloscópico,3 de Diciembre de 1933,Iquique,12 de Junio de 2005,,1,seis,14 de diciembre de 1989
FELIPE VALENZUELA HERRERA,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Valenzuela_Herrera,Felipe Ignacio,Valenzuela,Herrera,"Profesor Normalista, Abogado",8 de Octubre de 1941,Arica,,,1,cuatro,14 de diciembre de 1989
RUBEN GAJARDO CHACON,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rubén_Gajardo_Chacón,Rubén,Gajardo,Chacón,Abogado,26 de Abril de 1936,Valparaíso,,,1,una,14 de diciembre de 1989
NICANOR ARAYA,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicanor_De_la_Cruz_Araya,Nicanor,Araya,,Minero,4 de Marzo de 1938,Combarbalá,,,1,0,14 de diciembre de 1989
ARMANDO ARANCIBIA CALDERON,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Armando_Arancibia_Calderón,Armando,Arancibia,Calderón,Abogado,6 de Enero de 1941,Santiago,24 de Febrero de 2016,,1,6,14 de diciembre de 1989
BALDO PROKURICA PROKURICA,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica,Baldo,Prokurica,Prokurica,Abogado,2 de Julio de 1958,Vallenar,,,1,dos,14 de diciembre de 1989
CARLOS VILCHES GUZMAN,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alfredo_Vilches_Guzmán,Carlos Alfredo,Vilches,Guzmán,Ingeniero en metalurgia,20 de Octubre de 1944,Santiago,,,1,tres,14 de diciembre de 1989
JOAQUIN PALMA IRARRAZAVAL,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Salvador_José_María_Antonio_Palma_Irarrázaval,Joaquín Salvador José María Antonio,Palma,Irarrázaval,Ingeniero Civil,2 de Febrero de 1943,La Serena,17 de Agosto de 2013,,0,0,14 de diciembre de 1989
EUGENIO MUNIZAGA RODRIGUEZ,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Munizaga_Rodríguez,Eugenio Fernando,Munizaga,Rodríguez,,6 de Abril de 1941,La Serena,11 de Mayo de 2018,,1,tres,14 de diciembre de 1989
JULIO ROJOS ASTORGA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Rojos_Astorga,Julio,Rojos,Astorga,Técnico Agrícola,13 de Enero de 1953,Los Vilos,,,1,0,14 de diciembre de 1989
JORGE PIZARRO SOTO,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto,Jorge,Pizarro,Soto,,21 de Abril de 1952,Ovalle,,,0,cinco,14 de diciembre de 1989
JORGE MORALES ADRIASOLA,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Morales_Adriasola,Jorge,Morales,Adriasola,Médico cirujano,2 de Octubre de 1931,Ancud,04 de Octubre de 2019,,1,una,14 de diciembre de 1989
SERGIO VELASCO DE LA CERDA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Velasco_de_la_Cerda,Sergio,Velasco,de la Cerda,,21 de Noviembre de 1945,San Antonio,,,1,tres,14 de diciembre de 1989
FEDERICO RINGELING HUNGER,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Ringeling_Hunger,Federico José Miguel,Ringeling,Hunger,Abogado,8 de Julio de 1954,Santiago,,,1,tres,14 de diciembre de 1989
SERGIO JARA CATALAN,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Jara_Catalán,Sergio Raúl,Jara,Catalán,Abogado,9 de Octubre de 1946,Los Angeles,,,1,0,14 de diciembre de 1989
CLAUDIO RODRIGUEZ CATALDO,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Rodríguez_Cataldo,Claudio,Rodríguez,Cataldo,,28 de Septiembre de 1954,San Felipe,,,1,tres,14 de diciembre de 1989
ALDO CORNEJO GONZALEZ,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González,Aldo,Cornejo,González,Abogado,19 de Abril de 1955,Curicó,,Católica,1,cuatro,14 de diciembre de 1989
JORGE MOLINA VALDIVIESO,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Molina_Valdivieso,Jorge,Molina,Valdivieso,Abogado,16 de Febrero de 1932,Talcahuano,,,1,0,14 de diciembre de 1989
ARTURO LONGTON GUERRERO,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Longton_Guerrero,Arturo,Longton,Guerrero,Abogado,25 de Junio de 1948,Limache,03 de Julio de 2015,,1,tres,14 de diciembre de 1989
RAUL URRUTIA AVILA,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Urrutia_Ávila,Raúl,Urrutia,Ávila,Abogado,1 de Mayo de 1950,Viña del Mar,,,1,0,14 de diciembre de 1989
HUGO RODRIGUEZ GUERRERO,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Rodríguez_Guerrero,Hugo,Rodríguez,Guerrero,,17 de Julio de 1937,Viña del Mar,06 de Junio de 2003,,1,0,14 de diciembre de 1989
JUAN MASFERRER PELLIZZARI,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Masferrer_Pellizzari,Juan Alfonso Manuel,Masferrer,Pellizzari,Técnico en Motores a Reacción,19 de Noviembre de 1940,Angol,28 de Diciembre de 2017,,0,0,14 de diciembre de 1989
ANDRES CHADWICK PINERA,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera,Andrés Pío Bernardino,Chadwick,Piñera,Abogado,2 de Enero de 1956,Santiago,,,1,cuatro,14 de diciembre de 1989
FEDERICO MEKIS MARTINEZ,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Federico_Mekis_Martínez,Federico Andrés,Mekis,Martínez,Abogado,14 de Agosto de 1954,,,,1,0,14 de diciembre de 1989
MANUEL MATTA ARAGAY,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_Ramón_Matta_Aragay,Manuel José Ramón,Matta,Aragay,Abogado,10 de Noviembre de 1946,Talca,,,1,tres,14 de diciembre de 1989
JAIME NARANJO ORTIZ,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Naranjo_Ortiz,Jaime,Naranjo,Ortiz,Magíster en Economía Agraria,12 de Enero de 1951,Melipilla,,,1,cinco,14 de diciembre de 1989
LUIS NAVARRETE CARVACHO,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Navarrete_Carvacho,Luis Osvaldo,Navarrete,Carvacho,,27 de Septiembre de 1925,"Pocuro, Los Andes",30 de Noviembre de 2006,,1,dos,14 de diciembre de 1989
JAIME CAMPOS QUIROGA,PR,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Campos_Quiroga,Jaime,Campos,Quiroga,Abogado,16 de Febrero de 1953,Constitución,,,1,0,14 de diciembre de 1989
SERGIO CORREA DE LA CERDA,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Correa_de_la_Cerda,Sergio,Correa,de la Cerda,Agricultor,12 de Mayo de 1938,Curicó,,,0,0,14 de diciembre de 1989
SERGIO AGUILO MELO,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Aguiló_Melo,Sergio,Aguiló,Melo,Ingeniero Comercial,9 de Febrero de 1953,Santiago,,,1,tres,14 de diciembre de 1989
EUGENIO ORTEGA RIQUELME,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Ortega_Riquelme,Eugenio,Ortega,Riquelme,Sociólogo,14 de Junio de 1940,Constitución,27 de Septiembre de 2013,,1,tres,14 de diciembre de 1989
OCTAVIO JARA WOLFF,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Octavio_Jara_Wolff,Octavio,Jara,Wolff,Abogado,22 de Julio de 1944,Los Ángeles,30 de Diciembre de 2001,,1,dos,14 de diciembre de 1989
VICTOR PEREZ VARELA,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela,Víctor José,Pérez,Varela,Abogado,18 de Octubre de 1954,Santiago,,,1,0,14 de diciembre de 1989
JAIME ROCHA MANRIQUE,PR,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Rocha_Manrique,Jaime,Rocha,Manrique,Abogado,4 de Noviembre de 1938,Lebu,1 de Octubre de 2012,,1,tres,14 de diciembre de 1989
ISIDORO TOHA GONZALEZ,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Isidoro_Tohá_González,Isidoro,Tohá,González,Médico Cirujano,24 de Enero de 1930,Chillán,16 de Junio de 2007,,1,0,14 de diciembre de 1989
EDMUNDO SALAS DE LA FUENTE,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Salas_de_La_Fuente,Edmundo,Salas,de La Fuente,Relacionador Público,9 de Septiembre de 1936,Lota,,,1,siete,14 de diciembre de 1989
JUAN MARTINEZ SEPULVEDA,PAIS,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Martínez_Sepúlveda,Juan,Martínez,Sepúlveda,"Técnico en Refrigeración Industrial, Empresario Locomoción Colectiva",25 de Septiembre de 1943,Concepción,,,1,tres,14 de diciembre de 1989
VICTOR JEAME BARRUETO,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Jeame_Barrueto,Víctor,Jeame,Barrueto,"Ingeniero Comercial, Economista",1 de Julio de 1953,"Madrid, España",,,1,0,14 de diciembre de 1989
JORGE ULLOA AGUILLON,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Iván_Ulloa_Aguillón,Jorge Iván,Ulloa,Aguillón,Profesor de Historia y Geografía,15 de Septiembre de 1958,Talcahuano,,,1,0,14 de diciembre de 1989
EDMUNDO VILLOUTA CONCHA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Villouta_Concha,Edmundo,Villouta,Concha,,17 de Septiembre de 1926,Mulchén,4 de Noviembre de 2020,,1,siete,14 de diciembre de 1989
FRANCISCO BAYO VELOSO,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Leandro_Bayo_Veloso,Francisco Leandro,Bayo,Veloso,Médico Cirujano,13 de Marzo de 1933,Angol,,,0,0,14 de diciembre de 1989
JOSE PENA MEZA,PR,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Peña_Meza,José Apolonio,Peña,Meza,Abogado,5 de Octubre de 1951,Carahue,,,1,0,14 de diciembre de 1989
TEODORO RIBERA NEUMANN,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Teodoro_Ribera_Neumann,Teodoro Javier,Ribera,Neumann,Doctor en Derecho,25 de Mayo de 1958,Temuco,,,1,cuatro,14 de diciembre de 1989
MARIO ACUNA CISTERNAS,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Alberto_Acuña_Cisternas,Mario Alberto,Acuña,Cisternas,Ingeniero Agrónomo,26 de Septiembre de 1951,,,,1,dos,14 de diciembre de 1989
FRANCISCO HUENCHUMILLA JARAMILLO,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Huenchumilla_Jaramillo,Francisco Segundo,Huenchumilla,Jaramillo,Abogado,22 de Marzo de 1944,,,,1,seis,14 de diciembre de 1989
JOSE GARCIA RUMINOT,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot,José,García,Ruminot,Contador Público y Auditor,22 de Mayo de 1955,Temuco,,,1,dos,14 de diciembre de 1989
JUAN CONCHA URBINA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Concha_Urbina,Juan,Concha,Urbina,Abogado,10 de Noviembre de 1923,"Villa Alegre, Región del Maule, Chile",9 de Mayo de 2010,,1,0,14 de diciembre de 1989
MARIO DEVAUD OJEDA,PR,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Devaud_Ojeda,Mario,Devaud,Ojeda,Abogado,23 de Agosto de 1955,,,,1,0,14 de diciembre de 1989
CARLOS CAMINONDO SAEZ,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Caminondo_Sáez,Carlos,Caminondo,Sáez,,28 de Diciembre de 1937,Lautaro,25 de Julio de 2024,,1,tres,14 de diciembre de 1989
SERGIO ELGUETA BARRIENTOS,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Benedicto_Elgueta_Barrientos,Sergio Benedicto,Elgueta,Barrientos,Abogado,4 de Febrero de 1933,Puerto Montt,,,1,tres,14 de diciembre de 1989
VICTOR REYES ALVARADO,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Reyes_Alvarado,Víctor Fernando,Reyes,Alvarado,Abogado,2 de Julio de 1945,Osorno,,,1,tres,14 de diciembre de 1989
CARLOS RECONDO LAVANDEROS,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Recondo_Lavanderos,Carlos,Recondo,Lavanderos,Médico Veterinario,27 de Abril de 1954,Puerto Montt,,,1,tres,14 de diciembre de 1989
SERGIO OJEDA URIBE,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Ojeda_Uribe,Sergio,Ojeda,Uribe,Abogado,12 de Marzo de 1943,Riachuelo,,,1,cuatro,14 de diciembre de 1989
MARINA PROCHELLE AGUILAR,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marina_Prochelle_Aguilar,Marina,Prochelle,Aguilar,,9 de Diciembre de 1941,Valdivia,7 de Febrero de 2022,,1,tres,14 de diciembre de 1989
ANTONIO HORVATH KISS,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Horvath_Kiss,Antonio,Horvath,Kiss,Ingeniero Civil,3 de Enero de 1950,Santiago,23 de Mayo de 2018,,1,cinco,14 de diciembre de 1989
MILENKO VILICIC KARNINCIC,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Milenko_Vilicic_Karnincic,Milenko,Vilicic,Karnincic,Dirigente gremial,9 de Marzo de 1932,Punta Arenas,4 de Julio de 1993,,1,0,14 de diciembre de 1989
CARLOS SMOK UBEDA,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Smok_Ubeda,Carlos,Smok,Ubeda,Médico Cirujano,1 de Octubre de 1953,Santiago,,,1,tres,14 de diciembre de 1989
VICENTE SOTA BARROS,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vicente_Agustín_Sota_Barros,Vicente Agustín,Sota,Barros,Ingeniero Químico,28 de Abril de 1924,Talca,16 de Agosto de 2017,Católica,1,0,14 de diciembre de 1989
PABLO LONGUEIRA MONTES,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Longueira_Montes,Pablo,Longueira,Montes,Ingeniero Civil,12 de Agosto de 1958,Osorno,,,1,siete,14 de diciembre de 1989
ANGEL FANTUZZI HERNANDEZ,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ángel_Fantuzzi_Hernández,Ángel,Fantuzzi,Hernández,Empresario,12 de Junio de 1940,Santiago,6 de Diciembre de 2002,,1,tres,14 de diciembre de 1989
ANDRES SOTOMAYOR MARDONES,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Sotomayor_Mardones,Andrés,Sotomayor,Mardones,,25 de Julio de 1943,Santiago,6 de Abril de 2014,,1,0,14 de diciembre de 1989
PATRICIO MELERO ABAROA,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa,Patricio,Melero,Abaroa,Ingeniero,19 de Junio de 1956,Santiago,,,1,dos,14 de diciembre de 1989
RAMON ELIZALDE HEVIA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Elizalde_Hevia,Ramón Julio,Elizalde,Hevia,,25 de Febrero de 1940,Santiago,,,1,tres,14 de diciembre de 1989
CAMILO ESCALONA MEDINA,ILA,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camilo_Escalona_Medina,Camilo,Escalona,Medina,,15 de Junio de 1955,Santiago,,,1,una,14 de diciembre de 1989
HERNAN ROJO AVENDANO,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Rojo_Avendaño,Hernán,Rojo,Avendaño,Abogado,30 de Julio de 1930,Valparaíso,20 de Diciembre de 2012,,0,0,14 de diciembre de 1989
CRISTIAN LEAY MORAN,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristian_Antonio_Leay_Morán,Cristian Antonio,Leay,Morán,Ingeniero en Minas,9 de Febrero de 1954,Santiago,,,1,0,14 de diciembre de 1989
CARLOS MONTES CISTERNAS,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Montes_Cisternas,Carlos,Montes,Cisternas,,11 de Mayo de 1946,Santiago,,,1,tres,14 de diciembre de 1989
GUSTAVO ALESSANDRI BALMACEDA,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Alessandri_Balmaceda,Gustavo,Alessandri,Balmaceda,Empresario,8 de Marzo de 1961,,,,1,tres,14 de diciembre de 1989
ANDRES PALMA IRARRAZAVAL,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Palma_Irarrázaval,Andrés Jaime,Palma,Irarrázaval,Magister en Economía,21 de Julio de 1955,Santiago,,,1,seis,14 de diciembre de 1989
JAIME ORPIS BOUCHON,UDI,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon,Jaime,Orpis,Bouchon,Abogado,16 de Septiembre de 1956,Santiago,,,1,cuatro,14 de diciembre de 1989
GUILLERMO YUNGE BUSTAMANTE,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Yunge_Bustamante,Guillermo,Yunge,Bustamante,Abogado,26 de Septiembre de 1953,Santiago,,,1,0,14 de diciembre de 1989
JAIME ESTEVEZ VALENCIA,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Estévez_Valencia,Jaime,Estévez,Valencia,Ingeniero Comercial,27 de Septiembre de 1946,Santiago,,,0,0,14 de diciembre de 1989
LAURA RODRIGUEZ RICCOMINI,PH,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Laura_Fiora_Rodríguez_Riccomini,Laura Fiora,Rodríguez,Riccomini,Ingeniera Civil Industrial,1 de Abril de 1957,Santiago,18 de Julio de 1992,,1,0,14 de diciembre de 1989
ELIANA CARABALL MARTINEZ,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eliana_Caraball_Martínez,Eliana,Caraball,Martínez,Arquitecta,27 de Abril de 1937,Santiago,,,1,0,14 de diciembre de 1989
EVELYN MATTHEI FORNET,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet,Evelyn,Matthei,Fornet,Licenciada en Ciencias Económicas,11 de Noviembre de 1953,Santiago,,Luterana,1,tres,14 de diciembre de 1989
RODOLFO SEGUEL MOLINA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodolfo_Seguel_Molina,Rodolfo,Seguel,Molina,,20 de Septiembre de 1953,,,,1,una,14 de diciembre de 1989
GUTENBERG MARTINEZ OCAMICA,DC,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gutenberg_Martínez_Ocamica,Gutenberg,Martínez,Ocamica,Abogado,29 de Agosto de 1950,Santiago,,,1,tres,14 de diciembre de 1989
ALBERTO ESPINA OTERO,RN,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Espina_Otero,Alberto,Espina,Otero,Abogado,4 de Noviembre de 1956,Santiago,,,1,tres,14 de diciembre de 1989
JORGE SCHAULSOHN BRODSKY,PPD,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Schaulsohn_Brodsky,Jorge,Schaulsohn,Brodsky,Abogado,22 de Noviembre de 1952,Santiago,,,1,0,14 de diciembre de 1989
CARLOS BOMBAL OTAEGUI,ILB,diputados,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Bombal_Otaegui,Carlos,Bombal,Otaegui,Abogado,26 de Noviembre de 1950,Santiago,,,1,dos,14 de diciembre de 1989
JULIO LAGOS COSGROVE,ILB,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove,Julio,Lagos,Cosgrove,Empresario del Transporte,20 de Junio de 1943,Iquique,,,1,0,14 de diciembre de 1989
CARMEN FREI RUIZ-TAGLE,DC,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle,Carmen,Frei,Ruiz Tagle,Educadora de Párvulos,22 de Junio de 1938,Santiago,,,1,0,14 de diciembre de 1989
RICARDO NUNEZ MUNOZ,PPD,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz,Ricardo,Núñez,Muñoz,Profesor de Historia y Geografía Económica; Licenciado en Sociología,9 de Noviembre de 1939,"Sewell, Rancagua, Chile",,,1,dos,14 de diciembre de 1989
IGNACIO PEREZ WALKER,RN,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Pérez_Walker,Ignacio,Pérez,Walker,Abogado,4 de Agosto de 1948,Santiago,,,1,3,14 de diciembre de 1989
ALBERTO COOPER VALENCIA,ILB,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Cooper_Valencia,Alberto,Cooper,Valencia,Ingeniero Agrónomo,20 de Agosto de 1928,Antofagasta,28 de Septiembre de 2023,,1,4,14 de diciembre de 1989
LAURA SOTO GONZALEZ,PPD,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Laura_Soto_González,Laura,Soto,González,Abogada,15 de Diciembre de 1931,,,,1,dos,14 de diciembre de 1989
BELTRAN URENDA ZEGERS,ILB,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Beltrán_Urenda_Zegers,Beltran,Urenda,Zegers,Licenciado en Ciencias Jurídicas,29 de Febrero de 1920,Concón,22 de Junio de 2013,,1,ocho,14 de diciembre de 1989
CARLOS GONZALEZ MARQUEZ,PR,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_González_Márquez,Carlos,González,Márquez,"Profesor Normalista, Abogado",11 de Julio de 1930,Iquique,25 de Septiembre de 2015,,1,0,14 de diciembre de 1989
SERGIO ROMERO PIZARRO,ILB,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro,Sergio,Romero,Pizarro,Abogado,8 de Diciembre de 1938,Santiago,,,1,0,14 de diciembre de 1989
NICOLAS DIAZ SANCHEZ,DC,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Díaz_Sánchez,Nicolás,Díaz,Sánchez,Médico cirujano,10 de Agosto de 1929,Rancagua,18 de Octubre de 2019,,0,0,14 de diciembre de 1989
MARIO PAPI BEYER,ILA,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Papi_Beyer,Mario,Papi,Beyer,Abogado,6 de Septiembre de 1948,Puerto Montt,13 de Mayo de 2012,,1,dos,14 de diciembre de 1989
JAIME GAZMURI MUJICA,PPD,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Gazmuri_Mujica,Jaime,Gazmuri,Mujica,Ingeniero agrónomo,5 de Abril de 1944,,,,1,dos,14 de diciembre de 1989
MAXIMO PACHECO GOMEZ,DC,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Máximo_Pacheco_Gómez,Máximo,Pacheco,Gómez,Doctor en Derecho,26 de Octubre de 1924,Santiago,05 de Mayo de 2012,Católico,1,nueve,14 de diciembre de 1989
MARIO RIOS SANTANDER,RN,senadores,1989,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Enrique_Ríos_Santander,Mario Enrique,Ríos,Santander,"Agricultor, Político, Empresario Agrícola",17 de Enero de 1945,"Los Ángeles, Chile",,,1,0,14 de diciembre de 1989
